-28.125    2.93773e+12    -28.125    2.29468e+12    -28.125    3.33873e+12
-28.1062    3.56409e+12    -28.1062    2.86499e+12    -28.1062    3.99761e+12
-28.0875    2.68936e+12    -28.0875    2.02462e+12    -28.0875    3.31997e+12
-28.0687    2.44167e+12    -28.0687    1.72806e+12    -28.0687    3.13746e+12
-28.05    2.00674e+12    -28.05    1.38614e+12    -28.05    2.6121e+12
-28.0312    3.05911e+12    -28.0312    2.30103e+12    -28.0312    3.76461e+12
-28.0125    2.56866e+12    -28.0125    1.80999e+12    -28.0125    3.23792e+12
-27.9937    2.63801e+12    -27.9937    1.89721e+12    -27.9937    3.29623e+12
-27.975    2.0679e+12    -27.975    1.36018e+12    -27.975    2.64205e+12
-27.9562    3.51194e+12    -27.9562    2.60593e+12    -27.9562    4.22584e+12
-27.9374    2.9704e+12    -27.9374    2.20264e+12    -27.9374    3.58786e+12
-27.9187    2.54289e+12    -27.9187    1.92108e+12    -27.9187    3.09988e+12
-27.8999    2.61051e+12    -27.8999    1.89684e+12    -27.8999    3.14865e+12
-27.8812    3.10105e+12    -27.8812    2.31909e+12    -27.8812    3.66215e+12
-27.8624    2.73894e+12    -27.8624    2.03492e+12    -27.8624    3.26282e+12
-27.8437    4.44435e+12    -27.8437    3.43048e+12    -27.8437    5.11915e+12
-27.8249    6.02216e+12    -27.8249    4.6667e+12    -27.8249    6.78677e+12
-27.8061    6.57292e+12    -27.8061    5.1251e+12    -27.8061    7.35228e+12
-27.7874    5.74336e+12    -27.7874    4.38201e+12    -27.7874    6.46148e+12
-27.7686    6.80925e+12    -27.7686    5.25226e+12    -27.7686    7.5213e+12
-27.7499    6.6972e+12    -27.7499    4.9863e+12    -27.7499    7.29611e+12
-27.7311    7.47716e+12    -27.7311    5.63719e+12    -27.7311    7.99408e+12
-27.7124    6.41635e+12    -27.7124    4.71542e+12    -27.7124    6.81498e+12
-27.6936    6.47358e+12    -27.6936    4.73779e+12    -27.6936    6.76908e+12
-27.6749    4.76308e+12    -27.6749    3.32132e+12    -27.6749    4.97105e+12
-27.6561    3.41272e+12    -27.6561    2.18153e+12    -27.6561    3.50326e+12
-27.6373    3.77969e+12    -27.6373    2.70378e+12    -27.6373    3.9697e+12
-27.6186    3.31053e+12    -27.6186    2.32266e+12    -27.6186    3.49849e+12
-27.5998    2.92161e+12    -27.5998    2.02701e+12    -27.5998    3.09905e+12
-27.5811    2.53103e+12    -27.5811    1.85554e+12    -27.5811    2.77037e+12
-27.5623    2.30894e+12    -27.5623    1.61906e+12    -27.5623    2.48071e+12
-27.5436    1.97169e+12    -27.5436    1.39449e+12    -27.5436    2.13245e+12
-27.5248    2.22566e+12    -27.5248    1.57427e+12    -27.5248    2.34085e+12
-27.5061    1.28427e+12    -27.5061    8.34278e+11    -27.5061    1.36795e+12
-27.4873    9.58674e+11    -27.4873    6.22394e+11    -27.4873    1.02816e+12
-27.4685    9.72468e+11    -27.4685    6.40837e+11    -27.4685    1.02718e+12
-27.4498    8.22211e+11    -27.4498    5.79535e+11    -27.4498    8.80049e+11
